,token_id,description
0,104154439081122392554813711251045627492683083969063417536811685668542111285249,
1,34085485605809858234645056736246100833627908360907625323341308876490553688065,
2,23443662500946835264283410846443095105284164377306294737980796141289313665025,Crypto totem is a collection of 5555 totems created with generative art on the Ethereum blockchain.
3,30387844576134801913895584376002755778879493732219930374625394900539275214849,Ultra Cyberpunk right now
4,6996,Alphie is the friendly alpha whale for the little frens. For the strugglers. For the ones trying to make it in a sea of whales. Hop on its back and let it take you to the moon!
5,78654339273234277085305339794035921746225215355450310017130331928832377880577,
6,24780159351267007800640818674210647095648963381298353653622278044457950511105,
7,46277885117120547291078109067990039914435488501305894424139250128602391379969,
8,3400,"Funk, meet web 3. A collection of 8,888 unique digital hippies that are building the new free world before our eyes."
9,7372,"Funk, meet web 3. A collection of 8,888 unique digital hippies that are building the new free world before our eyes."
10,49904785834098083452281032538914581335332291924541495830622882819506425561089,
11,23005389916031419495497068831589288009900632785309905146382114898702313193473,"FungleBot Collective #1436

Collection of 25,000 unique and distinctive robots that form the FungleBot Collective for you to use, buy, keep and trade.

This FungleBot comes with a Stark head, Cyclops eyes, Armour body, Chrome arms and Tracks legs. This particular FungleBot is set to a Network background"
12,30387844576134801913895584376002755778879493732219930374625394958813391486977,Ultra Cyberpunk right now
13,2034,
14,34085485605809858234645056736246100833627908360907625323341308870992995549185,
15,30041571019036570279696425714306755064417936087066583674697140059982639661057,
16,40482595849772694285173713041642282097106100196042549765489086230924523208705,
17,30041571019036570279696425714306755064417936087066583674697140643823314010113,
18,44192513926775614107638438093497490625303692838102754816490159800811740200961,"All art works are randomly generated by code, enjoy the charm of color."
19,36257723901892137316520856712031194223608102656507542091456508314315959304193,
20,104154439081122392554813711251045627492683083969063417536811685627860181057537,
21,30041571019036570279696425714306755064417936087066583674697140058883128033281,
22,40482595849772694285173713041642282097106100196042549765489069639294060068865,Giraffes from different universes and dimensions have united in a tribe to take over the world!
23,46277885117120547291078109067990039914435488501305894424139250213264786718721,
24,78432332734164143055106923205289444762448366654261902765930981982589329342465,"All art works are randomly generated by code, enjoy the charm of color."
25,51929734946411346289540790635765095060363125039145709683616697069396287291393,Each Physarum is a 1/1 visualization of the patterns of growing slime mould. Dozens of parameters are hand tuned to create a visually stimulating animation.
26,23005389916031419495497068831589288009900632785309905146382139108848845193217,"""FungleBell Fairy #4834

Collection of 10,000 rare and unique FungleBell Fairies for you to use, buy, keep and trade.

This FungleBell comes with Green hair, Green body, White shoes, Blue antenna and spectacular Black Bitcoin wings.

This edition has a rare flower hair decoration."""
27,36257723901892137316520856712031194223608102656507542091456521742651469332481,
28,85085507933408271046452238667602385367365441338342966695615580474362807975937,
29,36257723901892137316520856712031194223608102656507542091456497980006169837569,
30,24000037,Subtle and beautiful pixellated glass.
31,85879054167812751372043786273165907612585945114286779657838366952295302692865,"We are cool, we have different socks and bright hair, we are free people!https://pixelfreaks.mystrikingly.com/"
32,53387674301784810298800708093152897419444414056130912913614481060836409344001,
33,23443662500946835264283410846443095105284164377306294737980796152284429942785,Crypto totem is a collection of 5555 totems created with generative art on the Ethereum blockchain.
34,66406747123743156841746366950152533278033835913591691491127079843495946485761,
35,23005389916031419495497068831589288009900632785309905146382070863261620764673,"""Bored FungleHeadz #465

We are so different but we're still the same, standing bored waiting in this crazy NFT World!

Featured in Mr Fungles famous hall of fame.. roaring round all day gets boring"""
36,30041571019036570279696425714306755064417936087066583674697140112759197794305,
37,85085507933408271046452238667602385367365441338342966695615580444675994025985,
38,2818,
39,46277885117120547291078109067990039914435488501305894424139250085721437896705,
40,53387674301784810298800708093152897419444414056130912913614481047642269810689,
41,78432332734164143055106923205289444762448366654261902765930983362476422201345,"All art works are randomly generated by code, enjoy the charm of color."
42,23005389916031419495497068831589288009900632785309905146382141255095542611969,"""FungleBell Fairy #5815

Collection of 10,000 rare and unique FungleBell Fairies for you to use, buy, keep and trade.

This FungleBell comes with Yellow hair, Black body, Pink shoes, Blue antenna and spectacular Blue wings.

This edition has a rare flower hair decoration."""
43,36257723901892137316520856712031194223608102656507542091456521811920701882369,
44,36257723901892137316520856712031194223608102656507542091456516187918725808129,
45,30041571019036570279696425714306755064417936087066583674697140189725011738625,
46,30041571019036570279696425714306755064417936087066583674697092477517436026881,
47,49904785834098083452281032538914581335332291924541495830622862307017497772033,
48,52717954189909971726467761475075372001135048651980797682113929981335422631937,
49,34085485605809858234645056736246100833627908360907625323341301735162531282945,
50,66406747123743156841746366950152533278033835913591691491127079859988620902401,
51,40482595849772694285173713041642282097106100196042549765489069643692106579969,Giraffes from different universes and dimensions have united in a tribe to take over the world!
52,30387844576134801913895584376002755778879493732219930374625394961012414742529,Ultra Cyberpunk right now
53,23005389916031419495497068831589288009900632785309905146382112151022755381249,"FungleBot Collective #389

Collection of 25,000 unique and distinctive robots that form the FungleBot Collective for you to use, buy, keep and trade.

This FungleBot comes with a Royal head, Dots eyes, Feline body, Tin Man arms and Feline legs. This particular FungleBot is set to a Horizon background"
54,85085507933408271046452238667602385367365441338342966695615580450173552164865,
55,51929734946411346289540790635765095060363125039145709683616697066097752408065,Each Physarum is a 1/1 visualization of the patterns of growing slime mould. Dozens of parameters are hand tuned to create a visually stimulating animation.
56,30041571019036570279696425714306755064417936087066583674697140156739662905345,
57,34085485605809858234645056736246100833627908360907625323341308866594949038081,
58,23005389916031419495497068831589288009900632785309905146382121019683545022465,"FungleBot Collective #3004

Collection of 25,000 unique and distinctive robots that form the FungleBot Collective for you to use, buy, keep and trade.

This FungleBot comes with a Steel head, Stark eyes, Alien body, Tin Man arms and Feline legs. This particular FungleBot is set to a Vortex background"
59,46277885117120547291078109067990039914435488501305894424139250130801414635521,
60,85797252838490455913575901811142501181290684799210155318723712083893105459280,"IF YOU HAVE THIS NFT AND THE ""NO RETREAT, NO SURRENDER"" NFT IN YOUR WALLET ON MAY 3, 2022 YOU WILL BE ABLE TO CLAIM A FREE NEVER BEFORE SEEN NFT WITH ITC. SEE DETAILS HERE: https://www.nft.intothecryptoverse.com/nft/bullish-with-a-couple-panda-bears 

I'm still a bitcoin and ethereum bull with a couple panda bears next to me. Even though the panda bears managed to get out of the trunk, sooner or later they'll be stuck in traffic on struggle street. Artwork by: A World Away"
61,49904785834098083452281032538914581335332291924541495830622871405476217618433,
62,46277885117120547291078109067990039914435488501305894424139250162687251841025,
63,36257723901892137316520856712031194223608102656507542091456522386965283209217,
64,40482595849772694285173713041642282097106100196042549765489069572223850774529,Giraffes from different universes and dimensions have united in a tribe to take over the world!
65,78432332734164143055106923205289444762448366654261902765930982001281027014657,"All art works are randomly generated by code, enjoy the charm of color."
66,1495,"WonderPals is a collection of 10,000 delightfully cute pals. Our vision is to bring more joy to the world through community, creativity, and fun art!"
67,78432332734164143055106923205289444762448366654261902765930982026569794453505,"All art works are randomly generated by code, enjoy the charm of color."
68,104154439081122392554813711251045627492683083969063417536811685660845529890817,
69,53387674301784810298800708093152897419444414056130912913614481105916386082817,
70,23005389916031419495497068831589288009900632785309905146382182716579514417153,"Rich Apes of Beverly Hills #133

Rich Apes of Beverly Hills just dont care because that have so much ca$h. There are 10,000 unique Apes to use, buy, keep and trade.

https://opensea.io/collection/fungles-assets"
71,46277885117120547291078109067990039914435488501305894424139239733819462385665,
72,23005389916031419495497068831589288009900632785309905146382120975703079911425,"FungleBot Collective #2984

Collection of 25,000 unique and distinctive robots that form the FungleBot Collective for you to use, buy, keep and trade.

This FungleBot comes with a Dark Blue head, Chrome eyes, Royal body, Bendy arms and Royal legs. This particular FungleBot is set to a Edges background"
73,34085485605809858234645056736246100833627908360907625323341308880888600199169,
74,49904785834098083452281032538914581335332291924541495830622871890360845467649,
75,34085485605809858234645056736246100833627908360907625323341308892983228104705,
76,30041571019036570279696425714306755064417936087066583674697140046788500127745,
77,40482595849772694285173713041642282097106100196042549765489069635995525185537,Giraffes from different universes and dimensions have united in a tribe to take over the world!
78,23099828737381302604412061289208038165097653359728490810212702108041925885953,"-We vowed to live our lives together, in joy and sorrow. We loved each other so much__. However, the war destroyed our promises, took him away from me__. Took his life--"
79,36257723901892137316520856712031194223608102656507542091456522604668585508865,
80,46277885117120547291078109067990039914435488501305894424139250103313623941121,
81,40482595849772694285173713041642282097106100196042549765489069605209199607809,Giraffes from different universes and dimensions have united in a tribe to take over the world!
82,9850,"A community-driven collectibles project featuring art by Matt Chessco. This project is your entry in the pop art world. Three more NFT collections will follow. 20% of all the royalties made from secondary sales will go to the Pop Art Community Treasury. Holders will vote for experiences, activations and projects that will benefit the Pop Art Community."
83,40482595849772694285173713041642282097106100196042549765489086232024034836481,
84,36257723901892137316520856712031194223608102656507542091456522140674678587393,
85,40482595849772694285173713041642282097106100196042549765489069651388687974401,Giraffes from different universes and dimensions have united in a tribe to take over the world!
